action_tool_name,state,reform_category,Action_or_Tool,action_tool_type,description,data_announced_passed,effective_date,project_type,implementation,relevant_urls,executive_orders_leg,EO_Leg_ID
"Speeding Up Certification Process for Dredging, Energy, Fuel, and Infrastructure Projects",North Carolina,Promote Certainty in Permitting Process,Action,Regulatory Change,"**Permitting Efficiency Reform for 401 Certifications to speed up deployment of dredging, energy, fuel, and infrastructure projects.**

This section will speed up 401 Certifications with a 60-day deemed approved shot clock for projects without a public hearing, and 90 days with projects requiring a public hearing. The NC Chamber is proud to support this section to speed-up deployment of critical pipeline infrastructure for fuels and future natural gas pipelines. This provision will aid MVP Southgate’s future project in North Carolina.

",2023-10-10,,"General,Clean Energy,Fossil Fuels,Transportation,Water",,"https://ncchamber.com/2023/09/26/nc-legislature-passes-regulatory-reform-act-of-2023-with-bipartisan-support/

",recHwyaHc4NuT7srW,HB 600
Creating a Permitting Fast-track Program for Priority Energy Projects,,,,,,,,,,,,
Expediting permitting for certain energy projects,Maryland,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Shift Culture",Action,Regulatory Change,"- The bill creates a new expedited certificate process for certain dispatchable energy generation projects and energy storage devices, replacing some of the usual CPCN timing and review steps with a faster, prioritized process.
- It also creates an expedited certificate process for qualifying projects, including a requirement that the Commission prioritize these proceedings and that other state agencies waive or expedite related regulatory requirements to meet the statutory timelines.
- For some projects, the Commission may approve a project first and review decommissioning plans later, so permitting can move faster without waiting for every downstream detail to be completed up front.
- The bill creates a separate application-and-approval path for nuclear energy generation projects after the Commission adopts implementing regulations.
",2025-05-20,2025-06-01,"Clean Energy,Housing and Other Building Construction,Data Centers",,"https://www.billtrack50.com/billdetail/1818660
",recqlrhzcg2K5AgyV,HB1035
Improving Efficiency of Water Quality Permitting,Colorado,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process",Action,Regulatory Change,"SB25-305 make a number of changes to water infrastructure permitting in CO:
- Limits the CDPHE's review of a permit‑modification application to only the specific changes requested, rather than reopening the entire permit, as was the previous standard.
- Directs the Water Quality Control Commission to adopt rules by December 31, 2026, allowing a 14-day public review of a preliminary draft permit before formal public notice
- Requires and sets deadlines for the CDPHE to propose, and the Water Quality Control Commission to adopt, rules setting clear time frames by which the division must grant or deny each type of permitting action (CDPHE's deadline is December 31, 2027, the Commission's deadline is June 30, 2028).
- Allows an applicant, after a permit modification or renewal application has been pending for 60 days (or if the division declines to process preliminary effluent limits), to jointly hire an independent contractor under division oversight to provide technical assistance to move the permit action forward, with costs paid by the applicant plus a small administrative fee to the state.
- Requires the CDPHE, on request, to provide a permittee with all non‑privileged documents, data, and information it relied on when developing that permittee’s permit modification or renewal.
",2025-06-04,2025-06-04,Water,Fully Implemented,"https://leg.colorado.gov/bills/sb25-305
",rec4a293QrPRiESVA,SB25-305 - Water Quality Permitting Efficiency
Allowing revenue sharing arrangements,Massachusetts,Benefits for Nature/Communities,Action,Regulatory Change,"Allows cities and towns to distribute revenue from housing. development to community members.
",,,Housing and Other Building Construction,Fully Implemented,"mass.gov/report/building-for-all
",,
Speeding up energy permitting,Maryland,"Shift Culture,Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Benefits for Nature/Communities",Action,"Applicant Support,Regulatory Change,Other","- It recommends a “Critical Infrastructure Fast-Track” designation for projects that meet Smart Siting criteria, so executive agencies can prioritize permit review and process permits concurrently.
- The order directs agencies, working with PSC staff, to propose fast-track permitting workflows for projects sited on state-owned rights-of-way.
- Those workflows are supposed to keep strict environmental protections and community engagement requirements in place.
- The order also asks the workgroup to identify state-owned corridors and other properties that could support transmission and co-located infrastructure, which is meant to make siting and permitting easier.

",2025-12-19,,Clean Energy,,"https://governor.maryland.gov/news/press/pages/governor-moore-signs-executive-order-to-lower-energy-costs,-protect-maryland-families,-and-deliver-affordable-energy-soluti.aspx
",recK30jl7MRiHvksp,EO 01.01.2025.27
Investing in Improved Permitting Technology,Pennsylvania,"Utilize Data and Technology,Shift Culture,Building the Permitting Workforce",Action,Other,"In 2024, Governor Josh Shapiro and the Pennsylvania General Assembly approved $7 million for technology updates and upgrades in the 2024-25 state budget, which is meant to be used to increase transparency for permit applicants and residents and improve DEP’s record keeping systems.
",2024-07-11,,General,Unknown,"https://www.pa.gov/agencies/dep/newsroom/shapiro-administration-reduces-dep-permit-backlog-by-75-percent
",recUPtDVF8mxSLdpP,HB 2310
Requiring Most Municipal Governments to Adopt Automated Permitting for Residential Solar,Colorado,Utilize Data and Technology,Action,"Dashboard/Portal,Regulatory Change","HB25-1096:
- Requires all counties and municipalities with 5,000+ residents to adopt an automated residential solar permitting platform that automatically reviews and issues permits for residential solar installations, and prohibits manual review of applications that the software approves, excepting physical inspections. 
- In addition, the State Electrical Board must implement its own automated electrical permitting platform for residential solar.

HB23-1234:
- Creates the ""Streamlined Solar Permitting and Inspection Grant Program"" in the Colorado Energy Office (CEO)
- Provides $992,709 in grant funding to help local governments adopt automated permitting software (""SolarAPP+"") for residential solar projects

","2025-05-28,2023-05-11",2025-05-28,Clean Energy,Partially Implemented,"HB25-1096 - https://leg.colorado.gov/bills/hb25-1096
HB23-1234 - https://leg.colorado.gov/bills/HB23-1234
","rec9zSe90SGXD2JU8,recR3ppNzZPiEpagc","HB25-1096 - Automated Permits for Clean Energy Technology,HB23-1234 - Streamlined Solar Permitting And Inspection Grants"
Establishing an Office Focused on Improving PA's Digital Services,Pennsylvania,"Utilize Data and Technology,Shift Culture",Action,Reorganization or Creation of New Government Offices,"In 2023, Governor Shapiro established the Commonwealth Office of Digital Experience (CODE PA) with the goal of improving, streamlining, and continuously adapting PA digital services so that “interactions between users and commonwealth entities are simple, seamless, and secure.” The office has been instrumental in the state's deployment of innovative technology tools such as PAyBACK, e-permitting, and more.
",2023-04-25,2023-04-25,General,Fully Implemented,"https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2023-08.pdf
",recawxZ9TO9gB8XmT,EO 2023-08
Establishing the Infrastructure Strike Team and Developing a California Project Tracker,California,"Change Decision-Making Level,Consolidate or Eliminate Steps,Utilize Data and Technology,Promote Certainty in Permitting Process",Tool,"Dashboard/Portal,Regulatory Change","EO N-8-23's Infrastructure Strike Team is a formal mechanism that created an interagency structure with an explicit mandate to coordinate permitting review for large infrastructure projects and identify opportunities for it. 
The Strike Team mandate includes identifying duplicative federal, state, tribal, and local review requirements and developing strategies to reduce or coordinate them. 
This EO directs the development of a California-specific project tracking system to provide public transparency and accountability on permit status for critical infrastructure projects. 
",2023-05-19,2023-05-19,"Clean Energy,General",Fully Implemented,"https://www.gov.ca.gov/wp-content/uploads/2023/05/5.19.23-Infrastructure-EO.pdf
",recE5xnD8eegd8505,EO N-8-23
Establishing a Permitting Process for Nature Based Methods to Improve Coastal Relisiliency,Florida,"Shift Culture,Benefits for Nature/Communities",Action,Regulatory Change,"Florida Chapter 2026-1 requires the Department of Environmental Protection (DEP) to initiate rulemaking to establish a statewide permitting process for nature based methods to improve coastal resiliency. This includes erecting living shorelines and vegetation planting, seagrass planting, wave attenuation devices, and green or hybrid green-gray stormwater infrastructure, which are sited to provide the most appropriate benefit. 

Resilience is the ability of a community to prepare for anticipated natural hazards, adapt to changing conditions, and withstand and recover rapidly from disruptions. 
",2026-03-19,2026-07-01,"Water,Ecological Restoration",Not Started,"https://www.flsenate.gov/Session/Bill/2026/302/BillText/er/PDF

",rec8KW3Mz5YgAyFa0,Chapter 2026-1
